date,prob_equity,prob_safe
2002-10-31,0.6621361968911971,0.33786380310880293
2002-11-30,0.6808747903271,0.3191252096729001
2002-12-31,0.19799674519421928,0.8020032548057807
2003-01-31,0.20640733673507394,0.7935926632649261
2003-02-28,0.21079041207728,0.78920958792272
2003-03-31,0.3353087693646195,0.6646912306353805
2003-04-30,0.34087557811435687,0.6591244218856431
2003-05-31,0.4626324297428115,0.5373675702571885
2003-06-30,0.1875436691402419,0.8124563308597581
2003-07-31,0.18508310785287474,0.8149168921471253
2003-08-31,0.36525798485395355,0.6347420151460464
2003-09-30,0.7853211313000511,0.21467886869994887
2003-10-31,0.8697962318026532,0.13020376819734683
2003-11-30,0.7372344785049465,0.2627655214950535
2003-12-31,0.5614109416549136,0.4385890583450865
2004-01-31,0.6823584356449378,0.3176415643550622
2004-02-29,0.7457694556508545,0.25423054434914544
2004-03-31,0.7567477858978321,0.24325221410216788
2004-04-30,0.6656352931089082,0.33436470689109177
2004-05-31,0.6279278058114345,0.3720721941885655
2004-06-30,0.6781296898975439,0.32187031010245615
2004-07-31,0.7268653262063127,0.2731346737936873
2004-08-31,0.7702135301428489,0.2297864698571511
2004-09-30,0.6214578239631454,0.37854217603685464
2004-10-31,0.7197256984206708,0.28027430157932914
2004-11-30,0.7277525357815474,0.2722474642184526
2004-12-31,0.808320828765367,0.19167917123463293
2005-01-31,0.6889154615426537,0.3110845384573463
2005-02-28,0.729506259895476,0.27049374010452404
2005-03-31,0.6222897841246029,0.37771021587539716
2005-04-30,0.679620355576362,0.3203796444236379
2005-05-31,0.5621672189771452,0.43783278102285483
2005-06-30,0.4410142580892018,0.5589857419107982
2005-07-31,0.3253027242603761,0.6746972757396239
2005-08-31,0.34441476809064187,0.6555852319093581
2005-09-30,0.43520749297345473,0.5647925070265453
2005-10-31,0.4191072055602758,0.5808927944397242
2005-11-30,0.3906656739961797,0.6093343260038203
2005-12-31,0.4535441728655335,0.5464558271344665
2006-01-31,0.33079251585334224,0.6692074841466578
2006-02-28,0.40687589143226865,0.5931241085677313
2006-03-31,0.4858487074600033,0.5141512925399967
2006-04-30,0.5298974028762949,0.47010259712370506
2006-05-31,0.44883489178798697,0.551165108212013
2006-06-30,0.5322717833360882,0.4677282166639119
2006-07-31,0.43642157621537614,0.5635784237846239
2006-08-31,0.3984775706349404,0.6015224293650596
2006-09-30,0.5436508925706787,0.45634910742932133
2006-10-31,0.47798576456226916,0.5220142354377308
2006-11-30,0.9999950596820322,4.9403179677782255e-06
2006-12-31,0.6288329237780217,0.37116707622197836
2007-01-31,0.9786456605645344,0.02135433943546562
2007-02-28,0.9911312625848039,0.008868737415196113
2007-03-31,0.8393909098894373,0.16060909011056268
2007-04-30,0.37387675427680855,0.6261232457231914
2007-05-31,0.42557045742742083,0.5744295425725792
2007-06-30,0.4403576722584869,0.5596423277415131
2007-07-31,0.40657861476662915,0.5934213852333708
2007-08-31,0.3746521847318445,0.6253478152681555
2007-09-30,0.5555473341511638,0.44445266584883625
2007-10-31,0.6881507897710941,0.31184921022890594
2007-11-30,0.5111651028845821,0.48883489711541794
2007-12-31,0.5766863210718349,0.4233136789281651
2008-01-31,0.45050599927764934,0.5494940007223507
2008-02-29,0.33157319892194603,0.668426801078054
2008-03-31,0.43636907783371404,0.563630922166286
2008-04-30,0.32789520378690773,0.6721047962130923
2008-05-31,0.18774572681690638,0.8122542731830936
2008-06-30,0.32964771776424473,0.6703522822357553
2008-07-31,0.14180218791385535,0.8581978120861447
2008-08-31,0.23802297934713323,0.7619770206528668
2008-09-30,0.12302459143659827,0.8769754085634017
2008-10-31,0.13761027802910875,0.8623897219708913
2008-11-30,0.9736067545690056,0.026393245430994392
2008-12-31,0.9724771233813762,0.02752287661862387
2009-01-31,0.0944127481587731,0.9055872518412269
2009-02-28,0.755834720003517,0.24416527999648294
2009-03-31,0.7891164979457959,0.2108835020542042
2009-04-30,0.5564701027862673,0.44352989721373276
2009-05-31,0.5050214607051287,0.49497853929487134
2009-06-30,0.5364439089947126,0.46355609100528733
2009-07-31,0.8414264204006363,0.15857357959936375
2009-08-31,0.7467057916859594,0.25329420831404065
2009-09-30,0.9003116950151265,0.09968830498487342
2009-10-31,0.8599702022910712,0.14002979770892873
2009-11-30,0.8843772104830743,0.11562278951692578
2009-12-31,0.6269038848198805,0.3730961151801195
2010-01-31,0.22566566301484003,0.77433433698516
2010-02-28,0.26317391988141114,0.7368260801185889
2010-03-31,0.3499421031575757,0.6500578968424243
2010-04-30,0.44937321390895957,0.5506267860910404
2010-05-31,0.48126524093621526,0.5187347590637847
2010-06-30,0.7930290881764084,0.20697091182359162
2010-07-31,0.730051984900647,0.269948015099353
2010-08-31,0.6645118743823724,0.3354881256176276
2010-09-30,0.21076573179786173,0.7892342682021383
2010-10-31,0.3881603776294339,0.6118396223705661
2010-11-30,0.40563043269276255,0.5943695673072374
2010-12-31,0.4815564296771304,0.5184435703228696
2011-01-31,0.4628666196755368,0.5371333803244632
2011-02-28,0.3602618045074272,0.6397381954925728
2011-03-31,0.5397932617516705,0.4602067382483294
2011-04-30,0.4847270087092913,0.5152729912907087
2011-05-31,0.4174626975086563,0.5825373024913437
2011-06-30,0.41797520330708704,0.582024796692913
2011-07-31,0.3554452670450321,0.6445547329549679
2011-08-31,0.33795023052772444,0.6620497694722756
2011-09-30,0.4944089835049803,0.5055910164950197
2011-10-31,0.31243069261206735,0.6875693073879326
2011-11-30,0.23192741215627832,0.7680725878437217
2011-12-31,0.3241980184572947,0.6758019815427053
2012-01-31,0.44193957459685673,0.5580604254031433
2012-02-29,0.5244526839841787,0.47554731601582134
2012-03-31,0.408789159153789,0.591210840846211
2012-04-30,0.44720972256897473,0.5527902774310253
2012-05-31,0.3997015043451779,0.6002984956548221
2012-06-30,0.426947804826153,0.573052195173847
2012-07-31,0.5149209260633754,0.4850790739366246
2012-08-31,0.5956241768489845,0.4043758231510155
2012-09-30,0.7143395896517664,0.2856604103482336
2012-10-31,0.46492374099199885,0.5350762590080012
2012-11-30,0.3577990930760424,0.6422009069239576
2012-12-31,0.429479035488299,0.570520964511701
2013-01-31,0.5290394564430738,0.47096054355692624
2013-02-28,0.5609623937588502,0.43903760624114985
2013-03-31,0.5906781862826973,0.4093218137173027
2013-04-30,0.5495411722323461,0.4504588277676539
2013-05-31,0.5001102530253245,0.49988974697467553
2013-06-30,0.6135560960817092,0.38644390391829075
2013-07-31,0.6243356220858414,0.37566437791415863
2013-08-31,0.44248253978257157,0.5575174602174284
2013-09-30,0.45425488049582685,0.5457451195041731
2013-10-31,0.4910918372875198,0.5089081627124802
2013-11-30,0.6468315095094336,0.3531684904905664
2013-12-31,0.6371042296402627,0.36289577035973736
2014-01-31,0.4657471786770885,0.5342528213229115
2014-02-28,0.48987479213130114,0.5101252078686989
2014-03-31,0.6216740236025082,0.37832597639749177
2014-04-30,0.6558115253908214,0.3441884746091786
2014-05-31,0.6594784213033471,0.34052157869665284
2014-06-30,0.5294470235508014,0.4705529764491986
2014-07-31,0.37215242538177096,0.627847574618229
2014-08-31,0.4603730165737785,0.5396269834262215
2014-09-30,0.6382371440521488,0.3617628559478511
2014-10-31,0.5443010969136464,0.4556989030863537
2014-11-30,0.5696921943780346,0.4303078056219653
2014-12-31,0.6046245532393371,0.395375446760663
2015-01-31,0.5838163983082807,0.4161836016917193
2015-02-28,0.5440951683277223,0.4559048316722777
2015-03-31,0.6316708476714179,0.3683291523285821
2015-04-30,0.6528004628104379,0.3471995371895621
2015-05-31,0.5741944806013575,0.4258055193986425
2015-06-30,0.6501045972357211,0.3498954027642789
2015-07-31,0.5570295733513231,0.442970426648677
2015-08-31,0.4148091311634827,0.5851908688365173
2015-09-30,0.45026972763031603,0.549730272369684
2015-10-31,0.3934008987225731,0.6065991012774269
2015-11-30,0.4871863624099152,0.5128136375900848
2015-12-31,0.6282151557651543,0.37178484423484565
2016-01-31,0.5593589226190593,0.4406410773809407
2016-02-29,0.5016032219141178,0.49839677808588223
2016-03-31,0.3187999661327401,0.6812000338672599
2016-04-30,0.3918466210616368,0.6081533789383632
2016-05-31,0.34704666957280417,0.6529533304271958
2016-06-30,0.3946785182402398,0.6053214817597602
2016-07-31,0.3973375003481472,0.6026624996518528
2016-08-31,0.4735841218892417,0.5264158781107583
2016-09-30,0.44289414875577315,0.5571058512442268
2016-10-31,0.582980728082206,0.417019271917794
2016-11-30,0.5348663553410289,0.4651336446589711
2016-12-31,0.6254639886647038,0.3745360113352963
2017-01-31,0.47385557119135757,0.5261444288086424
2017-02-28,0.5182530127020057,0.48174698729799426
2017-03-31,0.5066088542289686,0.49339114577103144
2017-04-30,0.5798104383303206,0.42018956166967936
2017-05-31,0.6359489276730532,0.3640510723269467
2017-06-30,0.5985571374520359,0.40144286254796413
2017-07-31,0.5971099021737125,0.40289009782628743
2017-08-31,0.6053232513244247,0.39467674867557534
2017-09-30,0.6360578008566946,0.36394219914330544
2017-10-31,0.5939227902999221,0.4060772097000779
2017-11-30,0.6086057739233697,0.39139422607663027
2017-12-31,0.6304500665433581,0.36954993345664183
2018-01-31,0.682443629872753,0.31755637012724697
2018-02-28,0.6980074132372133,0.30199258676278673
2018-03-31,0.6771630048686388,0.32283699513136127
2018-04-30,0.6192687426476123,0.38073125735238766
2018-05-31,0.5636085348106136,0.43639146518938643
2018-06-30,0.7524478425199468,0.24755215748005316
2018-07-31,0.7314045685087258,0.26859543149127413
2018-08-31,0.698863864887126,0.30113613511287396
2018-09-30,0.657767414293833,0.342232585706167
2018-10-31,0.6383013635944033,0.36169863640559674
2018-11-30,0.6237047850512174,0.3762952149487826
2018-12-31,0.7002167351163913,0.29978326488360874
2019-01-31,0.6981638980170345,0.3018361019829655
2019-02-28,0.40984820880321426,0.5901517911967857
2019-03-31,0.536823570852881,0.46317642914711893
2019-04-30,0.4316427326394151,0.5683572673605849
2019-05-31,0.41119724744758235,0.5888027525524177
2019-06-30,0.4528625361446281,0.5471374638553719
2019-07-31,0.4265725526005243,0.5734274473994757
2019-08-31,0.555257094303183,0.44474290569681696
2019-09-30,0.5477797743837092,0.45222022561629077
2019-10-31,0.3826114833757598,0.6173885166242402
2019-11-30,0.612584868621938,0.387415131378062
2019-12-31,0.5721392636315863,0.4278607363684137
2020-01-31,0.48851869111904966,0.5114813088809503
2020-02-29,0.4893041732745852,0.5106958267254148
2020-03-31,0.5074499204034273,0.4925500795965727
2020-04-30,0.6522076547819188,0.3477923452180812
2020-05-31,0.7731231029437765,0.22687689705622346
2020-06-30,0.9020306124669286,0.09796938753307136
2020-07-31,0.6524828792808072,0.34751712071919283
2020-08-31,0.21365232869130335,0.7863476713086966
2020-09-30,0.33074664400642617,0.6692533559935738
2020-10-31,0.29483422643889234,0.7051657735611077
2020-11-30,0.33912347938470044,0.6608765206152996
