date,weight_equity,weight_safe
2009-12-31,0.95,0.05
2010-01-31,0.9437212893994475,0.05627871060055245
2010-02-28,0.828430005227965,0.17156999477203505
2010-03-31,0.7180316326490889,0.28196836735091113
2010-04-30,0.9275677914502596,0.07243220854974042
2010-05-31,0.95,0.05
2010-06-30,0.9011977644375557,0.09880223556244427
2010-07-31,0.45563389899520507,0.5443661010047949
2010-08-31,0.785534750631474,0.21446524936852596
2010-09-30,0.8301886512147891,0.16981134878521087
2010-10-31,0.832390264670731,0.16760973532926904
2010-11-30,0.9399166734326777,0.06008332656732229
2010-12-31,0.9303242520036592,0.0696757479963408
2011-01-31,0.9289915034690196,0.0710084965309804
2011-02-28,0.9438033587420693,0.05619664125793067
2011-03-31,0.7710870894606555,0.22891291053934448
2011-04-30,0.6548721755065691,0.34512782449343093
2011-05-31,0.4960633463225863,0.5039366536774137
2011-06-30,0.5114915578885209,0.48850844211147915
2011-07-31,0.2783988479277548,0.7216011520722452
2011-08-31,0.11371466748798892,0.886285332512011
2011-09-30,0.05,0.95
2011-10-31,0.05,0.95
2011-11-30,0.05,0.95
2011-12-31,0.6825714265706855,0.3174285734293145
2012-01-31,0.32398759962855667,0.6760124003714434
2012-02-29,0.19683454615919416,0.8031654538408058
2012-03-31,0.14290275995235208,0.857097240047648
2012-04-30,0.10610847605098446,0.8938915239490155
2012-05-31,0.10458941239589005,0.89541058760411
2012-06-30,0.3739261684020618,0.6260738315979382
2012-07-31,0.7409721799171815,0.25902782008281855
2012-08-31,0.6860019243148158,0.31399807568518423
2012-09-30,0.8374758940225504,0.1625241059774496
2012-10-31,0.3477960273368994,0.6522039726631006
2012-11-30,0.3797535920330808,0.6202464079669192
2012-12-31,0.7554604307661261,0.24453956923387388
2013-01-31,0.6531191629604736,0.34688083703952644
2013-02-28,0.6031319548841771,0.39686804511582285
2013-03-31,0.6260917196938772,0.3739082803061228
2013-04-30,0.6739373097902641,0.3260626902097359
2013-05-31,0.5060222895745068,0.4939777104254932
2013-06-30,0.715873202833746,0.284126797166254
2013-07-31,0.5690920820733617,0.4309079179266383
2013-08-31,0.6535805577134772,0.34641944228652277
2013-09-30,0.7497023147902385,0.2502976852097615
2013-10-31,0.95,0.05
2013-11-30,0.95,0.05
2013-12-31,0.95,0.05
2014-01-31,0.8362678176417205,0.16373218235827947
2014-02-28,0.8365053237734994,0.1634946762265006
2014-03-31,0.95,0.05
2014-04-30,0.95,0.05
2014-05-31,0.95,0.05
2014-06-30,0.8131780461690812,0.18682195383091882
2014-07-31,0.42849283380193015,0.5715071661980698
2014-08-31,0.6560055069097674,0.34399449309023256
