date,prob_equity,prob_bond
2009-05-31,0.9903062210336232,0.009693778966376848
2009-08-31,0.2944993068604136,0.7055006931395864
2009-11-30,0.9274045114079869,0.07259548859201315
2010-02-28,0.9387902630261171,0.06120973697388287
2010-05-31,0.8775292473732192,0.1224707526267807
2010-08-31,0.44892810483138934,0.5510718951686107
2010-11-30,0.6483111356278204,0.3516888643721796
2011-02-28,0.70784159490995,0.29215840509005
2011-05-31,0.5378750996684951,0.46212490033150483
2011-08-31,0.3053715212927077,0.6946284787072923
2011-11-30,0.19907632452630142,0.8009236754736986
2012-02-29,0.5182165801644001,0.48178341983559986
2012-05-31,0.5943158136080249,0.4056841863919752
2012-08-31,0.4573169761400867,0.5426830238599133
2012-11-30,0.8889508904516205,0.11104910954837953
2013-02-28,0.6213218498868545,0.3786781501131455
2013-05-31,0.5637349386007402,0.4362650613992598
2013-08-31,0.8476809995493795,0.15231900045062052
2013-11-30,0.35133376739690836,0.6486662326030916
2014-02-28,0.8384299127791356,0.16157008722086438
2014-05-31,0.5744146040762963,0.42558539592370365
2014-08-31,0.36313062093490833,0.6368693790650917
2014-11-30,0.43400093820549746,0.5659990617945025
2015-02-28,0.37703562860796447,0.6229643713920355
2015-05-31,0.8965938329499714,0.10340616705002861
2015-08-31,0.7982084091650299,0.2017915908349701
2015-11-30,0.4477850248994357,0.5522149751005643
2016-02-29,0.3697102802032588,0.6302897197967412
2016-05-31,0.5607161784799062,0.4392838215200938
2016-08-31,0.42601966685838144,0.5739803331416186
2016-11-30,0.6114293971185898,0.38857060288141015
2017-02-28,0.5212495278468317,0.4787504721531683
2017-05-31,0.6024851142145216,0.3975148857854784
2017-08-31,0.4123890751992715,0.5876109248007285
2017-11-30,0.5907753807008349,0.4092246192991651
2018-02-28,0.7097477167229139,0.2902522832770861
2018-05-31,0.6256211470451005,0.3743788529548995
2018-08-31,0.6648102559767999,0.3351897440232002
2018-11-30,0.6475470783732407,0.3524529216267593
2019-02-28,0.3881385019045569,0.6118614980954431
2019-05-31,0.31668509377296794,0.6833149062270321
2019-08-31,0.6940410239549788,0.30595897604502126
2019-11-30,0.3032729566259358,0.6967270433740642
2020-02-29,0.847955716485036,0.15204428351496407
2020-05-31,0.6414538028458493,0.3585461971541507
2020-08-31,0.9999961392728377,3.8607271622700335e-06
2020-11-30,0.31761160291218626,0.6823883970878137
2021-02-28,0.6561527490371117,0.3438472509628883
2021-05-31,0.5662721946496958,0.4337278053503042
2021-08-31,0.30943478042049577,0.6905652195795042
2021-11-30,0.6638649369768652,0.33613506302313473
2022-02-28,0.4543817245342423,0.5456182754657577
2022-05-31,0.7735335086159852,0.22646649138401478
2022-08-31,0.6221302057739482,0.3778697942260519
2022-11-30,0.7213725259062238,0.27862747409377614
2023-02-28,0.34703366246617595,0.652966337533824
2023-05-31,0.3696610842481587,0.6303389157518413
2023-08-31,0.41879959775510756,0.5812004022448924
2023-11-30,0.4001613986168374,0.5998386013831626
2024-02-29,0.49349014898581367,0.5065098510141863
2024-05-31,0.6690962297086015,0.3309037702913985
2024-08-31,0.5767179542788576,0.42328204572114236
2024-11-30,0.5195472453592265,0.4804527546407736
2025-02-28,0.624538792772231,0.37546120722776893
2025-05-31,0.3826189952191046,0.6173810047808954
2025-08-31,0.6469561193341251,0.3530438806658749
2025-11-30,0.33645646708214416,0.6635435329178558
