date,port_return,ew_return,static_return
2009-12-31,0.018150807136826055,0.013400594732398144,0.011500509770626981
2010-01-31,-0.03429173743976587,-0.0254098793237526,-0.021765610848930802
2010-02-28,0.025858431942706813,0.021863856929457554,0.018753544034773143
2010-03-31,0.043744267807629175,0.042648456557869446,0.03657129609722143
2010-04-30,0.0143590298996183,0.010868923430559634,0.009335267702384449
2010-05-31,-0.07547349569944443,-0.055568189813625726,-0.04760606745929824
2010-06-30,-0.04661232816259176,-0.03616863915926099,-0.030977881184128468
2010-07-31,0.031201837053385237,0.047855594305656377,0.04104050940484832
2010-08-31,-0.03530185076206523,-0.03144159478749525,-0.026928509817853077
2010-09-30,0.0743740941401326,0.06273571558102024,0.053796089545636396
2010-10-31,0.03182575475395133,0.026789104902005253,0.022984708963623552
2010-11-30,9.513193373159362e-06,4.7499999999999996e-05,6.333333333333333e-05
2010-12-31,0.0622055751946567,0.04684428095792081,0.04017485986869403
2011-01-31,0.021656105720134242,0.01635496414432062,0.014039969266560532
2011-02-28,0.032793256691273746,0.02435869535756717,0.02089911983029567
2011-03-31,0.00012306688207227025,0.00012401335381225116,0.00012534477945812006
2011-04-30,0.01900631491808319,0.020308017392116642,0.01742353871705236
2011-05-31,-0.005521148596271043,-0.007825207742732938,-0.006695416160437758
2011-06-30,-0.008592142432060773,-0.011786387756794294,-0.010091903791537966
2011-07-31,-0.005515095074693996,-0.013980613309510705,-0.011972668551009176
2011-08-31,-0.006199849184543229,-0.038465525191568976,-0.032962116830868644
2011-09-30,-0.0033918675352659438,-0.04856947882705654,-0.041619077089857986
2011-10-31,0.005520700098758432,0.07642313471595137,0.06551506785176783
2011-11-30,-0.00014778605388725776,-0.0028273380877549413,-0.0024150993133137595
2011-12-31,0.007152802994525246,0.007333738267395808,0.00629558518157736
2012-01-31,0.015064328721959635,0.032479934604743715,0.02784827728025652
2012-02-29,0.00859713244388474,0.030403445248324855,0.026069619736659402
2012-03-31,0.004667824232195096,0.02254016782885501,0.019332048615209055
2012-04-30,-0.0006115176130050493,-0.0046405395295164645,-0.003962129120537922
2012-05-31,-0.006176730621756232,-0.042004022234623524,-0.03598678096301064
2012-06-30,0.015257715248802874,0.028446589359440066,0.02440183849856768
2012-07-31,0.008800005596794662,0.008320780512660634,0.007151145201328163
2012-08-31,0.017227899587289434,0.017576719355495297,0.01508480706661502
2012-09-30,0.021248434524091506,0.01777818023776526,0.015253916394274983
2012-10-31,-0.006253126389428309,-0.01270364980850493,-0.01087217602633756
2012-11-30,0.0022319226523147273,0.004001664151278588,0.003449045463000694
2012-12-31,0.006782325671860561,0.006294204832915455,0.005414080332975152
2013-01-31,0.033479225151064794,0.03587279038219147,0.03076715366092602
2013-02-28,0.0077419789031307204,0.008966667934714005,0.007702382039278671
2013-03-31,0.023819915017628507,0.026617029826635892,0.022832454137116483
2013-04-30,0.01298593132738629,0.01348361509293389,0.011574051032038573
2013-05-31,0.012008975184240161,0.01656455770399567,0.014216049460567719
2013-06-30,-0.009527065892715321,-0.009313787769837902,-0.00797015142176582
2013-07-31,0.02944137273880895,0.03619650223962583,0.031036287633964998
