label,cagr,volatility,sharpe,sortino,calmar,max_drawdown,max_dd_duration,var_95,cvar_95,hit_rate,total_return,best_month,worst_month,avg_up_month,avg_down_month,up_down_ratio,win_streak,lose_streak,n_months
Model Portfolio,0.10023799722596949,0.11676229579470006,0.8584791566809821,1.2665742170586818,0.36442961531033796,-0.27505447695465046,22,,,0.6555183946488294,9.807089941160903,0.09223309382692524,-0.10162609694027554,0.027435939973914473,-0.027912326345979746,0.9829327600229248,15,5,299
95/5,0.08672829588078956,0.14096662340747135,0.6152399325767839,0.8398446076834374,0.17764345452231284,-0.48821554452430493,52,,,0.6521739130434783,6.943543889069601,0.1206614989835718,-0.15685206273696023,0.030534678046066067,-0.03556032934422189,0.858672532261785,15,5,299
60/40 Reference,0.06339030209180208,0.08900506786395403,0.7122100304299007,0.9733858967341479,0.19124978241848947,-0.3314529370448773,41,,,0.6588628762541806,3.624800375676844,0.07640682391944886,-0.09850875892158896,0.019633593657907168,-0.022342221518112028,0.8787664038686093,15,5,299
Equity Only,0.08985546302408531,0.14839306616384387,0.6055233263047077,0.8267711162606103,0.17693355310904327,-0.5078486326938104,52,,,0.6488294314381271,7.533133923733434,0.12698359542130366,-0.16518682042487043,0.0322288214992741,-0.03751185768604024,0.8591635681980052,15,5,299
T-Bills Only,0.017980517690012077,0.0053342088902894515,3.3707936940273058,3.3707936940273058,0.0,0.0,0,,,0.9933110367892977,0.5589841728287162,0.004441666666666677,4.166666666671759e-05,0.0014973625140291896,0.0,inf,297,1,299
