date,port_return,ew_return,static_return
2009-05-31,0.22772957939131322,0.09645765743113405,0.12927563792117885
2009-08-31,0.06818756159612724,0.07474608379496772,0.08251122602835967
2009-11-30,0.06892736352337961,0.04399734706789982,0.05082095971606484
2010-02-28,0.006466146084338769,-0.014418995254754208,-0.008995322730310874
2010-05-31,0.007163455653005816,0.027676557016661718,0.02048040836808687
2010-08-31,0.05255801922542548,0.05167931916605567,0.034835261782079324
2010-11-30,0.03282648722639551,0.023338182727774714,0.044906243436428454
2011-02-28,0.05481478718597102,0.03918634239326535,0.05727560378994373
2011-05-31,0.03801924335872548,0.038137407377628496,0.03401882564361856
2011-08-31,0.03024896026481979,0.014491483126671922,-0.006307586748660339
2011-11-30,0.08408735295061172,0.06916152384757601,0.06092022327488085
2012-02-29,0.053795920109688325,0.0537302545890711,0.06362429540359593
2012-05-31,0.026793392628019125,0.029121215016472857,0.016036905346463938
2012-08-31,0.04301587285529224,0.043278149027440316,0.05047625908235771
2012-11-30,0.006230516471000367,-0.003206673341770494,-8.761746983596604e-05
2013-02-28,0.018419311324578358,0.014935111674809154,0.026770840048550543
2013-05-31,0.028335427186359508,0.02743434476683848,0.03852556623493682
2013-08-31,-0.012523107279003954,-0.030352810324790758,-0.022977977172412394
2013-11-30,0.04714382025124118,0.05236388036465578,0.06417309012180387
2014-02-28,0.038554317241810715,0.041716531072896745,0.04033607130468911
2014-05-31,0.048593342020217874,0.048813680916044544,0.04682417689054859
2014-08-31,0.049288287666993114,0.049105561711996204,0.048617856214908085
2014-11-30,0.036739160525901024,0.0367463796076376,0.03682924561983732
2015-02-28,0.04455518217538777,0.043286517513324685,0.039091263520435196
2015-05-31,-0.0031897814708502833,-0.020056936753880428,-0.014695021640001249
2015-08-31,-0.04145483219874989,-0.03163414014262422,-0.03715583402009644
2015-11-30,0.0336661656288239,0.0339636113759606,0.0394185217281227
2016-02-29,0.014210319137313018,0.009047898034116597,-0.0061576869070495005
2016-05-31,0.045361379111920695,0.04469778975975797,0.05369816373571932
2016-08-31,0.06147129544571902,0.061039576067123846,0.05709555721387591
2016-11-30,-0.05449450508210699,-0.05833136496477559,-0.04288072821129951
2017-02-28,0.049411780022030324,0.04935763644305691,0.0553530396356392
2017-05-31,0.026737416036051842,0.026793452239071258,0.026526694440024777
2017-08-31,0.03281768689496151,0.032735438951394524,0.03219966878958682
2017-11-30,0.03140131267214496,0.02987763158176049,0.03912307881285728
2018-02-28,-0.000717763732083293,-0.007340799489309935,0.00018638603569897869
2018-05-31,0.013524515042697336,0.014342711396292507,0.011750311265081727
2018-08-31,0.04453030265245202,0.04065739924791811,0.04778655662194295
2018-11-30,-0.04348705790192834,-0.043228353575061385,-0.04382252596639287
2019-02-28,0.03318281517823713,0.03240646597261121,0.029304294107463047
2019-05-31,0.05640615898630861,0.048788273452399444,0.03745360333443282
2019-08-31,0.09150596382910586,0.09574854503120589,0.09011459420304799
2019-11-30,0.00969387671774229,0.019079900881812994,0.03120606780901869
2020-02-29,-0.01041492457037383,0.02938181790821265,0.012946822862245959
2020-05-31,0.04452322489532462,0.045504324078945446,0.043052701211250086
2020-08-31,0.13709869635465077,0.07393753290737637,0.08972782376919497
2020-11-30,0.011853212440638257,0.015234910758832154,0.020317797734164644
2021-02-28,-0.016159324520686122,-0.02385233187754926,-0.00807742211963492
2021-05-31,0.04077596653766098,0.03957493947360635,0.053247822321698425
2021-08-31,0.07899187650853315,0.07893680059223862,0.0788609699985241
2021-11-30,0.01670746509234633,0.0172630821824441,0.016228479668395624
2022-02-28,-0.05617337956185761,-0.056024886884266656,-0.05245711305044498
2022-05-31,-0.09040955173251632,-0.10709586398512866,-0.09594497997852953
2022-08-31,-0.036941258510719166,-0.03682006951651173,-0.03722631356145571
2022-11-30,-0.008850291383302556,-0.019753533889210473,-0.008629091916987797
2023-02-28,-0.01210052287060958,-0.013080307710294448,-0.015173981337804366
2023-05-31,0.038064489623847404,0.03936535478401004,0.04319407894641762
2023-08-31,0.012093172049058094,0.013883932051309111,0.027463658722142712
2023-11-30,-0.01442160914902347,-0.013216499618684319,-0.007171454475540618
2024-02-29,0.07813073305451058,0.07813744746055262,0.08605945965514868
2024-05-31,0.009660959666559176,0.00558896025088923,0.01270944995192469
2024-08-31,0.07479281156233827,0.07485292777081243,0.07434222577050509
2024-11-30,0.02794543039409712,0.027877633587163997,0.03674935949549129
2025-02-28,-0.008241364494025865,-0.00808720377033234,-0.008584178655088736
2025-05-31,-0.03235104888184359,-0.030926432047983066,-0.025756647660355327
2025-08-31,0.059938326252165,0.05637051780234181,0.0646308247165694
2025-11-30,0.0572281856018184,0.05772555373481225,0.05865533589654515
